,primary_city,latitude,longitude
528,Ark,37.43,-76.57
529,Arkabutla,34.7,-90.13
530,Arkadelphia,34.12,-93.07
531,Arkansas City,37.06,-97.04
532,Arkansaw,44.62,-92.06
533,Arkdale,44.03,-89.88
534,Arkoma,35.33,-94.45
535,Arkport,42.39,-77.69
536,Arkville,42.14,-74.62
537,Arlee,47.16,-114.0
538,Arley,34.08,-87.21
539,Arlington,48.18,-121.67
540,Arlington Heights,42.41,-71.18
541,Arma,37.54,-94.7
542,Armada,42.84,-82.88
543,Armagh,40.45,-79.03
544,Armbrust,40.24,-79.55
545,Armington,40.33,-89.31
546,Arminto,43.18,-107.26
547,Armona,36.31,-119.71
548,Armonk,41.13,-73.71
549,Armorel,35.91,-89.74
550,Armour,43.31,-98.34
551,Armstrong,43.39,-94.47
552,Armstrong Creek,45.65,-88.44
553,Armuchee,34.47,-85.21
554,Arnaudville,30.4,-91.93
555,Arnegard,47.8,-103.43
556,Arnett,37.84,-81.43
557,Arnold,46.05,-87.48
558,Arnold Afb,35.37,-86.14
559,Arnoldsburg,38.78,-81.12
560,Arnolds Park,43.36,-95.13
561,Arnoldsville,33.91,-83.21
562,Arnot,41.66,-77.14
563,Arock,42.91,-117.48
564,Aroda,38.32,-78.24
565,Aroma Park,41.07,-87.8
566,Aromas,36.87,-121.63
567,Arona,40.26,-79.65
568,Arp,32.22,-95.05
569,Arpin,44.54,-90.03
570,Arrey,32.84,-107.31
571,Arriba,39.28,-103.27
572,Arrington,37.68,-78.9
573,Arrow Rock,39.07,-92.94
574,Arrowsmith,40.44,-88.63
575,Arroyo,17.97,-66.06
576,Arroyo Grande,35.16,-120.43
577,Arroyo Hondo,36.53,-105.66
578,Arroyo Seco,36.51,-105.56
579,Art,30.74,-99.1
580,Artemas,39.76,-78.4
581,Artemus,36.83,-83.84
582,Artesia,33.86,-118.08
583,Artesian,44.0,-97.92
584,Artesia Wells,28.22,-99.29
585,Arthur,47.1,-97.21
586,Arthur City,33.84,-95.46
587,Arthurdale,39.49,-79.82
588,Artie,37.91,-81.36
589,Artois,39.72,-122.14
590,Arvada,44.76,-106.09
591,Arverne,40.59,-73.79
592,Arvilla,47.91,-97.49
593,Arvin,35.08,-118.79
594,Arvonia,37.66,-78.41
595,Ary,37.37,-83.14
596,Asbury,40.67,-75.02
597,Asbury Park,40.22,-74.01
598,Ascutney,43.41,-72.42
599,Ash,34.07,-78.47
600,Ashaway,41.42,-71.78
601,Ashburn,39.54,-91.17
602,Ashburnham,42.63,-71.9
603,Ashby,46.09,-95.81
604,Ashcamp,37.26,-82.43
605,Ashdown,33.67,-94.12
606,Asheboro,35.71,-79.81
607,Asher,37.04,-83.4
608,Asherton,28.44,-99.76
609,Asheville,35.57,-82.54
610,Ashfield,42.53,-72.78
611,Ash Flat,36.22,-91.6
612,Ashford,46.77,-122.0
613,Ash Fork,35.13,-112.52
614,Ash Grove,37.31,-93.58
615,Ashippun,43.23,-88.47
616,Ashkum,40.87,-87.95
617,Ashland,46.63,-68.4
618,Ashland City,36.27,-87.05
619,Ashley,46.03,-99.37
620,Ashley Falls,42.05,-73.33
621,Ashmore,39.53,-88.02
622,Ashtabula,41.87,-80.79
623,Ashton,44.99,-98.49
624,Ashuelot,42.81,-72.44
625,Ashville,42.11,-79.42
626,Ashwood,44.7,-120.72
627,Askov,46.18,-92.78
628,Asotin,46.17,-117.16
629,Aspen,39.19,-106.82
630,Aspermont,33.13,-100.22
631,Aspers,39.97,-77.23
632,Aspinwall,41.91,-95.13
633,Assaria,38.68,-97.6
634,Assawoman,37.87,-75.52
635,Assonet,41.78,-71.06
636,Assumption,39.51,-89.04
637,Astatula,28.71,-81.73
638,Aston,39.86,-75.43
639,Astor,29.14,-81.53
640,Astoria,46.12,-123.67
641,Atalissa,41.57,-91.16
