us_zip_code,type,primary_city,state,latitude,longitude,county,timezone,area_codes,country,estmiated_population,created_at,updated_at
1950,STANDARD,Newburyport,MA,42.81,-70.88,Essex County,America/New_York,978,US,15198,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1983,STANDARD,Topsfield,MA,42.63,-70.95,Essex County,America/New_York,978,US,5449,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2021,STANDARD,Canton,MA,42.15,-71.13,Norfolk County,America/New_York,781617339,US,18954,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2018,PO BOX,Accord,MA,42.17,-70.88,Plymouth County,America/New_York,NA,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1960,STANDARD,Peabody,MA,42.53,-70.97,Essex County,America/New_York,978508617,US,43688,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1969,STANDARD,Rowley,MA,42.71,-70.87,Essex County,America/New_York,978,US,5259,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2019,STANDARD,Bellingham,MA,42.09,-71.47,Norfolk County,America/New_York,508774,US,14707,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2038,STANDARD,Franklin,MA,42.08,-71.38,Norfolk County,America/New_York,508774,US,27220,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1982,STANDARD,South Hamilton,MA,42.62,-70.86,Essex County,America/New_York,508617978,US,6501,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2020,PO BOX,Brant Rock,MA,42.08,-70.64,Plymouth County,America/New_York,NA,US,661,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1952,STANDARD,Salisbury,MA,42.83,-70.84,Essex County,America/New_York,978,US,6787,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1971,PO BOX,Salem,MA,42.51,-70.89,Essex County,America/New_York,351,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1965,PO BOX,Prides Crossing,MA,42.56,-70.86,Essex County,America/New_York,NA,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2030,STANDARD,Dover,MA,42.24,-71.27,Norfolk County,America/New_York,508781774,US,5123,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2026,STANDARD,Dedham,MA,42.24,-71.17,Norfolk County,America/New_York,617781,US,20528,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1985,STANDARD,West Newbury,MA,42.8,-71.0,Essex County,America/New_York,978,US,3927,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2027,PO BOX,Dedham,MA,42.24,-71.17,Norfolk County,America/New_York,339,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1984,STANDARD,Wenham,MA,42.6,-70.88,Essex County,America/New_York,978,US,3350,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1970,STANDARD,Salem,MA,42.51,-70.9,Essex County,America/New_York,978781617,US,32194,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2035,STANDARD,Foxboro,MA,42.06,-71.24,Norfolk County,America/New_York,508781774,US,14783,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
1944,STANDARD,Manchester,MA,42.56,-70.76,Essex County,America/New_York,978508,US,4620,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2044,UNIQUE,Hingham,MA,42.23,-70.88,Plymouth County,America/New_York,339,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2025,STANDARD,Cohasset,MA,42.23,-70.8,Norfolk County,America/New_York,781617339,US,6515,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2059,PO BOX,North Marshfield,MA,42.1,-70.71,Plymouth County,America/New_York,NA,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2041,PO BOX,Green Harbor,MA,42.1,-70.71,Plymouth County,America/New_York,781,US,770,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2047,PO BOX,Humarock,MA,42.19,-70.76,Plymouth County,America/New_York,781,US,595,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2031,STANDARD,East Mansfield,MA,42.02,-71.17,Bristol County,America/New_York,508,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2056,STANDARD,Norfolk,MA,42.11,-71.31,Norfolk County,America/New_York,508,US,8410,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2045,STANDARD,Hull,MA,42.3,-70.9,Plymouth County,America/New_York,781,US,8990,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2052,STANDARD,Medfield,MA,42.18,-71.3,Norfolk County,America/New_York,508617774,US,11150,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2040,PO BOX,Greenbush,MA,42.19,-70.76,Plymouth County,America/New_York,NA,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2032,STANDARD,East Walpole,MA,42.15,-71.21,Norfolk County,America/New_York,508774000000,US,3705,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2048,STANDARD,Mansfield,MA,42.02,-71.21,Bristol County,America/New_York,508979000000,US,20294,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2043,STANDARD,Hingham,MA,42.23,-70.88,Plymouth County,America/New_York,617781339,US,19512,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2054,STANDARD,Millis,MA,42.16,-71.35,Norfolk County,America/New_York,508781774,US,7110,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2060,PO BOX,North Scituate,MA,42.21,-70.76,Plymouth County,America/New_York,NA,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2051,PO BOX,Marshfield Hills,MA,42.15,-70.73,Plymouth County,America/New_York,NA,US,661,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2055,PO BOX,Minot,MA,42.19,-70.76,Plymouth County,America/New_York,NA,US,0,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2053,STANDARD,Medway,MA,42.13,-71.4,Norfolk County,America/New_York,508774,US,11358,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2050,STANDARD,Marshfield,MA,42.09,-70.7,Plymouth County,America/New_York,781339,US,19432,2020-02-11T17:24:49.747Z,2020-02-11T17:24:49.747Z
2062,STANDARD,Norwood,MA,42.18,-71.19,Norfolk County,America/New_York,617781508,US,24326,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2067,STANDARD,Sharon,MA,42.11,-71.18,Norfolk County,America/New_York,781339,US,16154,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2065,PO BOX,Ocean Bluff,MA,42.1,-70.71,Plymouth County,America/New_York,NA,US,388,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2066,STANDARD,Scituate,MA,42.18,-70.73,Plymouth County,America/New_York,617781339,US,14992,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2071,STANDARD,South Walpole,MA,42.09,-71.27,Norfolk County,America/New_York,508774,US,934,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2061,STANDARD,Norwell,MA,42.16,-70.78,Plymouth County,America/New_York,781339,US,9372,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2081,STANDARD,Walpole,MA,42.13,-71.24,Norfolk County,America/New_York,508774781,US,16471,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2070,PO BOX,Sheldonville,MA,42.05,-71.35,Norfolk County,America/New_York,NA,US,0,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2072,STANDARD,Stoughton,MA,42.11,-71.1,Norfolk County,America/New_York,508781617,US,23389,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2090,STANDARD,Westwood,MA,42.21,-71.21,Norfolk County,America/New_York,781617339,US,13095,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2093,STANDARD,Wrentham,MA,42.06,-71.33,Norfolk County,America/New_York,508774,US,9499,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2121,STANDARD,Dorchester,MA,42.35,-71.06,Suffolk County,America/New_York,617781857,US,16415,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2119,STANDARD,Roxbury,MA,42.35,-71.06,Suffolk County,America/New_York,508617978,US,17302,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
2111,STANDARD,Boston,MA,42.35,-71.06,Suffolk County,America/New_York,617781978,US,4467,2020-02-11T17:24:49.787Z,2020-02-11T17:24:49.787Z
