MSA ID,MSA Name,State, No. of Children in Core Sample ,Relative Mobility Rank-Rank Slope,Absolute Upward Mobility
36220,Odessa, TX," 5,864 ",0.265,50.8
36260,Ogden-Clearfield, UT," 26,052 ",0.268,46.5
36420,Oklahoma City, OK," 42,664 ",0.337,42.3
36500,Olympia-Tumwater, WA," 8,479 ",0.271,42.2
36540,Omaha-Council Bluffs, NE-IA," 30,684 ",0.363,42.7
36740,Orlando-Kissimmee-Sanford, FL," 52,690 ",0.325,39.2
36780,Oshkosh-Neenah, WI," 5,541 ",0.334,44.5
36980,Owensboro, KY," 4,826 ",0.367,43.0
37100,Oxnard-Thousand Oaks-Ventura, CA," 25,331 ",0.239,44.5
37340,Palm Bay-Melbourne-Titusville, FL," 15,098 ",0.307,39.5
37460,Panama City, FL," 5,942 ",0.332,39.4
37620,Parkersburg-Vienna, WV," 3,584 ",0.380,39.5
37860,Pensacola-Ferry Pass-Brent, FL," 14,880 ",0.341,39.4
37900,Peoria, IL," 14,891 ",0.400,41.2
37980,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD," 196,566 ",0.392,40.7
38060,Phoenix-Mesa-Scottsdale, AZ," 97,151 ",0.292,40.4
38220,Pine Bluff, AR," 4,577 ",0.413,36.3
38300,Pittsburgh, PA," 83,232 ",0.365,44.8
38340,Pittsfield, MA," 4,655 ",0.309,42.5
38540,Pocatello, ID," 3,622 ",0.260,43.1
38860,Portland-South Portland, ME," 17,181 ",0.272,43.5
38900,Portland-Vancouver-Hillsboro, OR-WA," 67,370 ",0.277,41.3
38940,Port St. Lucie, FL," 8,939 ",0.309,38.0
39140,Prescott, AZ," 4,777 ",0.235,43.2
39300,Providence-Warwick, RI-MA," 49,803 ",0.333,43.4
39340,Provo-Orem, UT," 17,300 ",0.184,49.2
39380,Pueblo, CO," 5,172 ",0.368,39.2
39460,Punta Gorda, FL," 2,935 ",0.236,41.9
39540,Racine, WI," 7,992 ",0.383,39.6
39580,Raleigh, NC," 23,627 ",0.386,38.0
39660,Rapid City, SD," 5,218 ",0.333,44.3
39740,Reading, PA," 12,686 ",0.378,44.3
39820,Redding, CA," 6,570 ",0.310,41.9
39900,Reno, NV," 10,154 ",0.281,41.1
40060,Richmond, VA," 37,262 ",0.400,37.8
40140,Riverside-San Bernardino-Ontario, CA," 113,709 ",0.245,41.9
40220,Roanoke, VA," 9,683 ",0.379,39.6
40340,Rochester, MN," 7,540 ",0.256,50.2
40380,Rochester, NY," 39,345 ",0.375,41.0
40420,Rockford, IL," 12,299 ",0.370,38.4
40580,Rocky Mount, NC," 5,680 ",0.425,34.9
40660,Rome, GA," 3,025 ",0.376,36.1
40900,Sacramento--Roseville--Arden-Arcade, CA," 58,963 ",0.261,42.6
40980,Saginaw, MI," 8,426 ",0.372,37.5
41060,St. Cloud, MN," 7,554 ",0.243,52.8
41100,St. George, UT," 4,114 ",0.226,45.8
41140,St. Joseph, MO-KS," 4,687 ",0.366,42.4
41180,St. Louis, MO-IL," 107,487 ",0.407,39.0
41420,Salem, OR," 12,681 ",0.290,41.0
41500,Salinas, CA," 11,876 ",0.217,43.6
41540,Salisbury, MD-DE," 10,478 ",0.397,38.3
41620,Salt Lake City, UT," 43,705 ",0.265,45.8
41660,San Angelo, TX," 4,407 ",0.332,43.1
41700,San Antonio-New Braunfels, TX," 65,778 ",0.321,41.1
41740,San Diego-Carlsbad, CA," 82,253 ",0.237,44.3
41860,San Francisco-Oakland-Hayward, CA," 108,420 ",0.250,44.5
41940,San Jose-Sunnyvale-Santa Clara, CA," 49,457 ",0.233,45.5
42020,San Luis Obispo-Paso Robles-Arroyo Grande, CA," 7,712 ",0.203,45.1
42100,Santa Cruz-Watsonville, CA," 7,957 ",0.214,43.4
42140,Santa Fe, NM," 4,249 ",0.235,40.5
42200,Santa Maria-Santa Barbara, CA," 11,308 ",0.223,44.4
42220,Santa Rosa, CA," 14,776 ",0.229,43.6
42340,Savannah, GA," 11,025 ",0.356,36.1
42540,Scranton--Wilkes-Barre--Hazleton, PA," 18,790 ",0.336,45.9
42660,Seattle-Tacoma-Bellevue, WA," 102,647 ",0.274,43.3
42680,Sebastian-Vero Beach, FL," 3,179 ",0.308,38.9
42700,Sebring, FL," 2,295 ",0.322,39.4
43100,Sheboygan, WI," 4,590 ",0.318,46.3
43300,Sherman-Denison, TX," 4,499 ",0.343,41.3
43340,Shreveport-Bossier City, LA," 18,158 ",0.434,37.8
43420,Sierra Vista-Douglas, AZ," 4,417 ",0.265,42.9
43580,Sioux City, IA-NE-SD," 7,435 ",0.313,48.0
43620,Sioux Falls, SD," 7,426 ",0.271,49.4
43780,South Bend-Mishawaka, IN-MI," 12,256 ",0.394,38.8
43900,Spartanburg, SC," 10,044 ",0.409,36.7
44060,Spokane-Spokane Valley, WA," 18,889 ",0.309,42.2
44100,Springfield, IL," 8,059 ",0.400,39.9
44140,Springfield, MA," 20,060 ",0.375,41.2
44180,Springfield, MO," 13,091 ",0.315,41.8
44220,Springfield, OH," 5,709 ",0.410,36.5
44300,State College, PA," 3,504 ",0.284,47.3
44420,Staunton-Waynesboro, VA," 3,751 ",0.351,41.2
44700,Stockton-Lodi, CA," 19,533 ",0.253,42.6
