zipcode,state,avg_income,Zips.primary_city,latitude,longitude,Zips.county,Zips.estimated_population
48728,MI,49953,Curran,44.71,-83.8,Alcona County,0
48729,MI,41456,Deford,43.51,-83.18,Tuscola County,1251
48730,MI,52759,East Tawas,44.28,-83.48,Iosco County,3876
48731,MI,44039,Elkton,43.81,-83.18,Huron County,1476
48732,MI,56974,Essexville,43.61,-83.84,Bay County,9540
48733,MI,47756,Fairgrove,43.52,-83.54,Tuscola County,1518
48734,MI,88652,Frankenmuth,43.33,-83.74,Saginaw County,6822
48735,MI,43361,Gagetown,43.65,-83.24,Tuscola County,784
48737,MI,34573,Glennie,44.56,-83.71,Alcona County,941
48738,MI,50847,Greenbush,44.54,-83.35,Alcona County,1033
48739,MI,43332,Hale,44.38,-83.8,Iosco County,3168
48740,MI,50485,Harrisville,44.65,-83.29,Alcona County,1991
48741,MI,46227,Kingston,43.41,-83.18,Tuscola County,1709
48742,MI,47940,Lincoln,44.68,-83.41,Alcona County,1502
48744,MI,45305,Mayville,43.33,-83.35,Tuscola County,3842
48745,MI,41250,Mikado,44.56,-83.41,Alcona County,1056
48746,MI,48848,Millington,43.28,-83.52,Tuscola County,7519
48747,MI,57690,Munger,43.52,-83.77,Bay County,1397
48748,MI,44327,National City,44.23,-83.71,Iosco County,1460
48749,MI,43090,Omer,44.04,-83.85,Arenac County,952
48750,MI,43159,Oscoda,44.42,-83.33,Iosco County,7173
48754,MI,45588,Owendale,43.72,-83.26,Huron County,820
48755,MI,68042,Pigeon,43.82,-83.27,Huron County,2936
48756,MI,34146,Prescott,44.19,-83.93,Ogemaw County,3059
48757,MI,55944,Reese,43.45,-83.68,Tuscola County,3444
48759,MI,48358,Sebewaing,43.73,-83.45,Huron County,2983
48760,MI,47409,Silverwood,43.3,-83.27,Tuscola County,1040
48761,MI,38806,South Branch,44.46,-83.88,Alcona County,747
48762,MI,50740,Spruce,44.83,-83.46,Alcona County,1015
48763,MI,51551,Tawas City,44.27,-83.51,Iosco County,3972
48765,MI,37939,Turner,44.14,-83.78,Arenac County,584
48766,MI,34840,Twining,44.11,-83.8,Arenac County,1067
48767,MI,56854,Unionville,43.65,-83.46,Tuscola County,1896
48768,MI,48277,Vassar,43.37,-83.57,Tuscola County,8519
48770,MI,38297,Whittemore,44.23,-83.8,Iosco County,1435
48801,MI,58909,Alma,43.37,-84.65,Gratiot County,9187
48806,MI,46623,Ashley,43.18,-84.47,Gratiot County,1367
48807,MI,43713,Bannister,43.13,-84.42,Gratiot County,716
48808,MI,76543,Bath,42.81,-84.44,Clinton County,4288
48809,MI,51514,Belding,43.09,-85.23,Ionia County,8802
48811,MI,45597,Carson City,43.17,-84.84,Montcalm County,2500
48813,MI,57644,Charlotte,42.56,-84.83,Eaton County,17851
48815,MI,67917,Clarksville,42.84,-85.24,Ionia County,1989
48817,MI,48337,Corunna,42.98,-84.11,Shiawassee County,5045
48818,MI,48667,Crystal,43.26,-84.91,Montcalm County,1831
48819,MI,59933,Dansville,42.55,-84.3,Ingham County,2325
48820,MI,94414,Dewitt,42.86,-84.59,Clinton County,14700
48821,MI,70772,Dimondale,42.64,-84.64,Eaton County,5265
48822,MI,79000,Eagle,42.8,-84.79,Clinton County,2555
48823,MI,87425,East Lansing,42.73,-84.48,Ingham County,27319
48827,MI,59624,Eaton Rapids,42.51,-84.65,Eaton County,13692
48829,MI,40896,Edmore,43.4,-85.03,Montcalm County,2495
48831,MI,46885,Elsie,43.08,-84.39,Clinton County,3025
48832,MI,48056,Elwell,43.42,-84.76,Gratiot County,1146
48834,MI,45036,Fenwick,43.14,-85.08,Montcalm County,1836
48835,MI,63145,Fowler,43,-84.74,Clinton County,2238
48836,MI,60067,Fowlerville,42.66,-84.07,Livingston County,11351
48837,MI,73167,Grand Ledge,42.75,-84.74,Eaton County,16490
48838,MI,51496,Greenville,43.17,-85.25,Montcalm County,14296
48840,MI,74445,Haslett,42.75,-84.4,Ingham County,10635
48841,MI,50302,Henderson,43.08,-84.19,Shiawassee County,728
48842,MI,65089,Holt,42.63,-84.52,Ingham County,17796
48843,MI,77586,Howell,42.6,-83.93,Livingston County,35835
48845,MI,45111,Hubbardston,43.09,-84.84,Ionia County,809
48846,MI,46140,Ionia,42.98,-85.05,Ionia County,12086
48847,MI,50153,Ithaca,43.29,-84.6,Gratiot County,5112
48848,MI,69800,Laingsburg,42.89,-84.34,Shiawassee County,6949
48849,MI,56838,Lake Odessa,42.78,-85.13,Ionia County,4944
48850,MI,46110,Lakeview,43.44,-85.27,Montcalm County,3495
48851,MI,56822,Lyons,42.98,-84.94,Ionia County,1968
48854,MI,68674,Mason,42.58,-84.44,Ingham County,15925
48855,MI,72810,Howell,42.69,-83.88,Livingston County,12267
48856,MI,40145,Middleton,43.16,-84.77,Gratiot County,793
48857,MI,54631,Morrice,42.83,-84.17,Shiawassee County,2120
48858,MI,55463,Mount Pleasant,43.59,-84.77,Isabella County,26098
48860,MI,45047,Muir,42.99,-84.93,Ionia County,1125
48861,MI,53403,Mulliken,42.76,-84.89,Eaton County,1462
48864,MI,118058,Okemos,42.7,-84.41,Ingham County,16361
48865,MI,46298,Orleans,43.06,-85.13,Ionia County,1447
48866,MI,49527,Ovid,43,-84.37,Clinton County,4004
48867,MI,48574,Owosso,42.99,-84.17,Shiawassee County,22924
48871,MI,60672,Perrinton,43.18,-84.67,Gratiot County,1699
48872,MI,59954,Perry,42.82,-84.22,Shiawassee County,6386
48873,MI,64640,Pewamo,43,-84.84,Ionia County,1283
48875,MI,62579,Portland,42.87,-84.9,Ionia County,8638
48876,MI,52464,Potterville,42.62,-84.74,Eaton County,3389
48877,MI,43015,Riverdale,43.38,-84.83,Gratiot County,1862
48878,MI,52638,Rosebush,43.69,-84.76,Isabella County,1351
48879,MI,60539,Saint Johns,43,-84.55,Clinton County,15165
48880,MI,44229,Saint Louis,43.4,-84.61,Gratiot County,5361
48881,MI,55009,Saranac,42.92,-85.2,Ionia County,4526
48883,MI,51208,Shepherd,43.52,-84.69,Isabella County,6035
48884,MI,44589,Sheridan,43.21,-85.07,Montcalm County,3469
48885,MI,42593,Sidney,43.25,-85.13,Montcalm County,787
48886,MI,42387,Six Lakes,43.42,-85.15,Montcalm County,1630
48888,MI,45509,Stanton,43.29,-85.07,Montcalm County,5074
48889,MI,45623,Sumner,43.3,-84.81,Gratiot County,1188
48890,MI,56303,Sunfield,42.76,-84.99,Eaton County,1782
48891,MI,43320,Vestaburg,43.39,-84.9,Montcalm County,2251
48892,MI,58167,Webberville,42.66,-84.18,Ingham County,3864
48893,MI,58567,Weidman,43.69,-84.97,Isabella County,4421
48894,MI,70199,Westphalia,42.92,-84.79,Clinton County,2033
48895,MI,92234,Williamston,42.68,-84.28,Ingham County,9957
48897,MI,52328,Woodland,42.72,-85.13,Barry County,1345
48906,MI,46314,Lansing,42.7,-84.55,Ingham County,19721
48910,MI,39770,Lansing,42.7,-84.55,Ingham County,25921
48911,MI,41620,Lansing,42.7,-84.55,Ingham County,30419
48912,MI,44065,Lansing,42.7,-84.55,Ingham County,12231
48915,MI,39006,Lansing,42.7,-84.55,Ingham County,6357
48917,MI,58445,Lansing,42.7,-84.55,Eaton County,26721
48933,MI,39361,Lansing,42.7,-84.55,Ingham County,1304
49001,MI,40213,Kalamazoo,42.27,-85.58,Kalamazoo County,15484
49002,MI,66989,Portage,42.2,-85.59,Kalamazoo County,15993
49004,MI,51828,Kalamazoo,42.27,-85.58,Kalamazoo County,12982
49006,MI,47300,Kalamazoo,42.27,-85.58,Kalamazoo County,12928
49007,MI,57997,Kalamazoo,42.27,-85.58,Kalamazoo County,5718
49008,MI,80328,Kalamazoo,42.27,-85.58,Kalamazoo County,11602
49009,MI,86150,Kalamazoo,42.27,-85.58,Kalamazoo County,32845
49010,MI,54475,Allegan,42.52,-85.84,Allegan County,14231
49011,MI,52279,Athens,42.08,-85.23,Calhoun County,1862
49012,MI,90447,Augusta,42.33,-85.35,Kalamazoo County,3124
49013,MI,40085,Bangor,42.31,-86.11,Van Buren County,4084
49014,MI,57062,Battle Creek,42.29,-85.22,Calhoun County,16679
49015,MI,60345,Battle Creek,42.29,-85.22,Calhoun County,22475
49017,MI,51393,Battle Creek,42.29,-85.22,Calhoun County,17445
49021,MI,55028,Bellevue,42.44,-85.01,Eaton County,5247
49022,MI,40377,Benton Harbor,42.11,-86.44,Berrien County,22263
49024,MI,78834,Portage,42.2,-85.59,Kalamazoo County,24373
49026,MI,47819,Bloomingdale,42.38,-85.95,Van Buren County,1727
49028,MI,46955,Bronson,41.87,-85.19,Branch County,5165
49029,MI,54948,Burlington,42.1,-85.07,Calhoun County,1383
49030,MI,47178,Burr Oak,41.84,-85.32,St Joseph County,2020
49031,MI,70811,Cassopolis,41.91,-86,Cass County,6077
49032,MI,47944,Centreville,41.92,-85.52,St Joseph County,2413
49033,MI,68245,Ceresco,42.27,-85.06,Calhoun County,1650
49034,MI,57650,Climax,42.23,-85.33,Kalamazoo County,2071
49036,MI,53098,Coldwater,41.94,-85,Branch County,18378
49037,MI,35617,Battle Creek,42.32,-85.26,Calhoun County,14320
49038,MI,53012,Coloma,42.18,-86.3,Berrien County,7664
49040,MI,48635,Colon,41.95,-85.32,St Joseph County,2644
49042,MI,51467,Constantine,41.83,-85.66,St Joseph County,4056
49043,MI,38583,Covert,42.29,-86.26,Van Buren County,1657
49045,MI,47342,Decatur,42.1,-85.97,Van Buren County,4503
49046,MI,60015,Delton,42.49,-85.4,Barry County,5973
49047,MI,50973,Dowagiac,41.98,-86.11,Cass County,11320
49048,MI,44998,Kalamazoo,42.24,-85.48,Kalamazoo County,18574
49050,MI,57327,Dowling,42.52,-85.25,Barry County,1395
49051,MI,69647,East Leroy,42.19,-85.24,Calhoun County,2225
49052,MI,52088,Fulton,42.11,-85.35,Kalamazoo County,861
49053,MI,68641,Galesburg,42.29,-85.41,Kalamazoo County,5708
49055,MI,53576,Gobles,42.36,-85.87,Van Buren County,5164
49056,MI,41828,Grand Junction,42.4,-86.07,Van Buren County,3030
49057,MI,37279,Hartford,42.2,-86.16,Van Buren County,5214
49058,MI,56966,Hastings,42.65,-85.28,Barry County,15617
49060,MI,168438,Hickory Corners,42.44,-85.37,Barry County,1566
49061,MI,53006,Jones,41.91,-85.81,Cass County,1361
49064,MI,50711,Lawrence,42.21,-86.05,Van Buren County,3136
49065,MI,57366,Lawton,42.16,-85.84,Van Buren County,5697
49066,MI,42615,Leonidas,42.03,-85.35,St Joseph County,570
