zip,cbsa
24347,99999
27022,49180
27820,40260
29743,16740
29743,23500
29446,99999
31604,46660
33488,33100
39741,48500
37046,30280
37046,34980
37819,28940
41135,99999
42558,43700
43046,18140
45302,43380
46747,12140
46747,99999
46747,11420
47633,99999
47633,21780
47231,31500
47231,35860
47110,31140
47024,18220
47024,17140
47346,39980
47346,35220
48321,19820
48856,10940
50570,99999
51014,99999
52621,26980
52621,99999
57455,99999
57256,99999
57256,47980
57730,39660
57730,99999
68872,24260
68367,99999
68367,30700
68304,36540
68366,30700
68366,36540
68113,36540
68786,35740
68786,99999
53526,31540
54737,99999
54737,32860
54741,20740
54741,99999
55479,33460
58351,99999
58049,99999
56296,99999
56139,99999
61431,37900
61321,37900
61321,36837
61321,38700
61432,37900
62338,39500
62643,30660
63631,99999
64487,99999
64487,32340
66756,38260
66942,99999
67437,99999
67545,99999
70777,12940
71826,99999
71067,33380
71067,43340
72577,12900
72577,99999
72628,25460
74570,99999
74570,32540
74533,99999
75437,44860
75936,99999
76565,99999
76940,41660
76940,99999
79042,11100
79042,99999
82059,16940
82434,99999
82510,40180
85275,38060
86337,39150
88102,17580
84023,99999
91788,31080
95488,46380
96719,25900
83606,14260
83840,41760
97873,99999
97848,99999
98564,16500
98814,99999
98828,48300
98828,21260
99371,28420
99371,36830
01468,49340
02018,14460
03607,30100
04413,99999
10115,35620
12427,99999
13464,45060
13464,99999
15687,38300
16680,20180
18035,10900
20775,47900
21659,15700
23022,16820
28547,27340
29065,17900
39818,12460
36722,99999
38502,18260
42032,99999
41612,99999
26731,19060
26731,99999
42241,17300
44032,11780
44412,10420
44412,49660
45746,99999
45746,31930
48611,13020
48652,13020
48652,99999
48652,33220
48621,99999
50244,19780
50244,11180
50039,11180
50039,19780
50051,32260
49514,24340
49831,27020
51444,16140
57576,99999
52074,99999
52235,26980
57775,39660
57775,99999
68033,36540
57788,99999
57788,39660
68920,99999
68455,36540
68455,99999
68454,36540
68454,99999
54135,43020
56052,33460
56052,22060
58056,99999
56255,99999
56637,24330
61373,36837
66620,45820
66951,99999
66930,99999
70723,35380
71171,43340
72471,99999
72666,25460
74041,46140
75456,34420
76635,99999
77597,26420
76547,28660
79952,21340
82839,43260
83116,99999
85320,38060
85631,38060
84715,99999
90406,31080
92192,41740
95208,44700
83525,99999
97626,28900
98220,13380
99029,44060
99029,99999
99012,44060
01021,44140
03579,13620
04773,99999
16223,99999
19706,37980
21679,12580
21679,20660
30142,12060
33307,33100
26259,21180
25971,14140
40771,30940
49840,99999
51520,99999
57344,99999
52321,16300
51651,99999
68440,99999
53587,99999
58011,22020
62976,99999
71164,43340
71427,10780
71427,35060
72770,22220
74755,99999
76185,19100
77225,26420
78268,41700
78953,12420
80810,99999
80801,99999
81225,99999
88126,38780
84338,30860
93745,23420
91933,41740
93715,23420
91226,31080
59487,24500
59487,99999
97296,38900
07051,35620
10008,35620
18430,99999
33929,15980
37868,42940
25845,99999
57767,39660
68321,99999
53237,33340
58353,99999
58009,99999
58038,99999
58038,22020
61466,99999
61466,19340
61466,23660
62848,99999
63381,99999
63381,41180
66621,45820
66008,41140
67109,99999
73011,99999
73011,36420
74528,32540
78007,99999
82925,99999
95013,41940
98089,42660
03241,30100
06409,25540
07207,35620
11970,35620
15416,38300
17925,39060
25823,13220
42321,16420
47989,45460
47989,18820
47989,26900
68001,99999
58641,19860
64066,28140
71458,35060
74534,99999
85060,38060
82635,16220
89831,21220
95943,99999
96811,46520
96127,45000
06230,49340
08602,45940
16515,21500
20195,47900
41274,99999
43142,47920
50520,99999
57358,99999
68929,99999
56035,36940
56035,10660
58627,19860
91115,31080
15641,38300
23055,16820
42370,99999
49970,99999
68849,28260
69350,99999
71148,43340
85362,39150
84772,16260
88025,43500
91334,31080
97336,10540
06143,25540
10101,35620
12156,26460
12156,10580
12752,99999
17099,30380
22723,47900
34250,35840
41651,99999
50137,19780
97920,36620
16245,38300
74935,99999
78012,41700
87528,21580
92678,31080
95427,46380
18333,10900
18333,20700
43791,49780
78677,99999
57354,99999
53088,11540
20530,47900
28247,16740
95389,99999
98062,42660
80541,22660
59052,99999
05633,12740
29336,43900
87939,99999
24006,40220
75475,14300
84011,36260
08224,37980
15004,38300
16654,26500
18932,37980
85927,99999
01614,49340
33924,15980
77663,13140
79344,99999
28656,35900
69365,99999
74945,22900
49822,99999
49822,32100
06504,35300
18711,42540
18413,99999
38760,24740
25715,26580
79931,21340
76370,48660
79854,99999
84531,99999
06532,35300
13261,45060
17762,48700
95318,99999
92317,40140
22729,47900
93649,23420
28126,16740
31051,99999
43735,49780
49722,99999
13678,36300
79003,99999
15925,27780
17097,25420
61790,14010
28089,43140
24854,99999
24027,40220
99513,11260
24129,13980
83209,38540
19708,37980
13692,48060
61331,19940
13848,13780
05449,15540
20421,47900
27111,49180
87582,21580
24035,40220
71209,33740
20405,47900
74752,99999
45367,43380
99777,99999
46921,37940
78293,41700
95958,17020
95653,40900
19898,37980
29122,35140
17576,29540
27967,99999
74358,33060
99656,99999
20527,47900
91772,31080
99927,99999
38389,27180
70651,99999
43667,45780
52344,16300
62672,41180
78547,40100
23709,47260
04629,99999
95053,41940
20411,47900
17750,30820
43007,18140
65741,99999
66420,45820
90073,31080
91899,31080
13631,48060
21746,25180
20548,47900
06006,25540
49611,99999
74459,99999
13794,13780
17251,16540
61630,37900
71932,99999
46771,99999
41173,26580
45617,17060
04013,38860
62071,41180
25630,34350
41368,99999
82071,29660
36764,99999
27157,49180
63860,99999
89409,37220
74737,99999
45428,19430
20208,47900
98297,99999
29933,99999
99778,99999
04006,38860
43657,45780
45624,99999
43717,99999
86033,43320
20635,15680
77466,26420
95986,46020
08313,47220
24647,14140
22241,47900
25855,13220
23269,40060
38193,32820
26366,17220
98950,21260
20064,47900
99575,99999
08933,35620
17075,30380
14651,40380
63875,28380
48222,19820
25396,16620
12537,39100
39167,27140
77415,13060
35545,99999
32360,99999
45815,99999
23131,47260
16221,99999
48833,29620
01561,49340
35293,13820
05159,99999
61709,14010
24826,99999
32559,37860
00670,32420
00690,10380
00936,41980
00983,41980
01129,44140
01237,38340
01564,49340
01748,14460
01748,49340
02114,14460
02145,14460
02339,14460
02876,39300
02891,39300
02916,39300
03060,31700
03217,30100
03217,29060
03225,29060
03285,30100
03448,28300
03840,14460
03818,99999
04101,38860
04092,38860
04110,38860
04862,99999
04680,99999
04694,99999
04953,12620
05483,15540
05772,40860
05772,30100
05858,99999
06033,25540
06016,25540
06134,25540
06248,25540
06241,49340
06129,25540
06365,35980
06390,35620
06488,35300
06708,45860
06708,35300
06756,45860
06783,45860
06878,14860
07026,35620
07033,35620
07046,35620
07107,35620
07458,35620
07524,35620
07663,35620
07735,35620
07920,35620
08081,37980
08201,12100
08104,37980
08520,35620
08520,45940
08343,37980
08754,35620
10002,35620
10030,35620
10279,35620
10457,35620
10475,35620
11372,35620
11426,35620
11514,35620
11558,35620
11729,35620
11768,35620
11797,35620
11935,35620
10701,35620
10920,35620
10950,39100
12172,26460
12130,26460
12440,28740
12580,39100
12601,39100
12776,99999
13032,45060
13032,46540
13126,45060
13126,12180
13132,45060
13332,45060
13332,99999
13324,46540
13626,48060
13626,99999
13803,13780
13803,18660
13753,99999
13787,13780
13787,99999
14055,15380
14138,27460
14138,36460
14724,27460
14886,99999
14886,42900
14886,27060
15012,38300
15140,38300
15232,38300
15301,38300
15521,99999
15401,38300
15338,99999
15541,43740
15557,38300
15557,43740
15626,38300
15848,20180
16050,38300
15952,27780
16117,38300
16117,35260
16146,49660
16255,99999
16334,99999
16502,21500
16510,21500
16657,26500
16657,99999
17029,30380
17017,44980
17017,25420
17052,26500
17064,30140
17104,25420
17366,49620
17363,49620
17584,29540
17603,29540
17846,48700
17846,14100
17832,44980
17866,44980
18037,10900
18064,10900
18055,10900
18055,37980
18201,42540
18201,10900
18424,99999
18424,42540
18424,20700
18458,35620
18436,42540
18436,99999
18428,35620
18428,99999
18612,42540
18929,37980
19063,37980
19096,37980
19095,37980
19130,37980
19317,37980
19534,39740
19802,37980
19803,37980
20002,47900
20618,15680
20250,47900
20536,47900
20747,47900
20724,12580
21076,12580
21085,12580
21222,12580
21230,12580
21225,12580
21539,99999
21539,19060
21503,19060
21538,99999
21620,12580
21620,99999
21788,47900
21773,47900
21842,41540
21853,41540
21904,37980
21804,41540
20129,47900
20187,47900
22032,47900
22043,47900
22192,47900
22311,47900
22630,47900
22630,49020
22850,25500
22832,25500
22920,16820
22920,44420
23140,40060
23175,99999
23112,40060
23192,40060
23192,99999
23237,40060
24083,40220
24076,99999
24226,99999
24237,99999
24260,99999
24324,99999
24324,13980
24360,99999
24521,31340
24521,16820
24531,19260
24578,99999
37620,28700
27013,16740
27101,49180
27046,49180
27105,49180
27209,38240
27209,99999
27258,15500
27350,24660
27326,24660
27326,99999
27360,24660
27360,49180
27408,24660
27603,39580
27699,39580
27894,48980
27954,28620
28135,16740
28206,16740
28318,22180
28318,99999
28349,99999
28722,99999
29063,17900
28635,35900
28647,25860
28623,99999
28438,99999
28478,48900
28478,99999
28469,34820
28401,48900
28401,34820
28395,22180
28369,31300
28740,99999
28572,99999
28572,28820
28572,35100
28520,33980
29583,22500
29633,24860
29579,34820
29417,16700
29644,24860
29686,42860
29906,25940
29940,25940
30046,12060
30017,12060
30802,12260
30808,12260
31069,47580
31069,99999
31063,99999
31094,99999
31006,99999
31006,17980
32066,99999
32136,19660
32170,19660
31827,17980
31548,41220
31543,27700
31543,15260
31783,22340
31783,99999
31788,34220
31788,46660
32224,27260
32514,37860
33004,33100
33034,28580
33034,33100
33036,28580
32566,37860
33028,33100
32720,19660
32720,36740
34945,38940
33169,33100
33173,33100
33180,33100
33182,33100
33158,33100
33467,33100
33865,48100
33865,11580
33629,45300
33637,45300
32905,37340
33767,45300
33802,29460
33811,29460
33578,45300
33948,39460
35040,13820
34103,34940
34237,35840
34239,35840
35121,23460
35121,13820
35803,26620
35755,10700
35755,42460
35634,22520
35673,19460
35744,42460
35953,13820
35563,99999
35571,99999
36925,99999
39056,27140
38852,99999
36726,99999
36526,19300
36453,99999
36453,20020
36453,21460
36535,19300
36480,99999
36480,19300
36432,12120
36432,99999
36509,33660
36310,20020
36312,20020
36370,20020
38676,32820
39182,46980
39744,24980
39744,44260
39744,99999
37077,34980
37101,99999
37101,34980
39567,25060
39284,27140
39332,99999
39332,29860
37061,17300
37061,99999
37026,46100
37026,34980
39425,25620
39452,25060
39452,99999
37143,34980
37762,28940
37764,42940
37764,28940
37764,34100
37367,16860
37367,18900
37367,99999
37367,19420
37219,34980
37303,11940
