zipcode,state,total_pop,avg_income
36106,AL,6430,78761.43
36107,AL,2840,31423.24
36108,AL,7050,29215.32
36109,AL,11060,50051.54
36110,AL,4440,28243.92
36111,AL,5640,72262.94
36113,AL,330,68736.36
36115,AL,260,51238.46
36116,AL,18030,43249.47
36117,AL,22550,75211.75
36201,AL,6240,32020.19
36203,AL,8400,53112.86
36205,AL,340,51532.35
36206,AL,4510,41478.49
36207,AL,8300,64369.88
36250,AL,2100,53961.9
36251,AL,2030,46181.77
36255,AL,380,85384.21
36256,AL,600,45758.33
36258,AL,660,46592.42
36260,AL,1630,43953.37
36262,AL,530,43194.34
36263,AL,220,49663.64
36264,AL,3400,51860.0
36265,AL,7620,50549.48
36266,AL,2250,45011.56
36268,AL,2300,45266.09
36269,AL,470,43982.98
36271,AL,2460,50653.25
36272,AL,4700,44245.11
36273,AL,1050,54686.67
36274,AL,4250,39878.12
36276,AL,880,45713.64
36277,AL,2330,46963.95
36278,AL,1900,61902.63
36279,AL,1060,46925.47
36280,AL,1490,47722.15
36301,AL,15550,48246.82
36303,AL,12590,61037.17
36305,AL,6990,88227.75
36310,AL,2410,48334.44
36311,AL,1060,49401.89
36312,AL,2480,51240.32
36314,AL,240,44208.33
36316,AL,750,53604.0
36317,AL,170,40323.53
36318,AL,480,51720.83
36319,AL,880,52518.18
36320,AL,1360,41482.35
36321,AL,780,44702.56
36322,AL,3410,43934.31
36323,AL,2950,45728.14
36330,AL,15320,59929.7
36340,AL,1990,44688.94
36343,AL,580,37946.55
36344,AL,2130,46869.48
36345,AL,3570,59395.52
36346,AL,580,48087.93
36350,AL,3090,54025.24
36351,AL,1490,57313.42
36352,AL,2150,60038.6
36353,AL,840,45703.57
36360,AL,7810,48139.31
36362,AL,1400,53388.57
36370,AL,350,45331.43
36373,AL,210,35352.38
36374,AL,490,52075.51
36375,AL,2870,44903.48
36376,AL,870,42886.21
36401,AL,2750,40504.36
36420,AL,4390,54498.86
36421,AL,3570,62121.29
36425,AL,330,31963.64
36426,AL,5590,46964.22
36432,AL,910,38314.29
36435,AL,190,28510.53
36436,AL,180,42338.89
36441,AL,1470,47356.46
36442,AL,1140,41751.75
36444,AL,220,36845.45
36445,AL,1550,41810.97
36451,AL,1820,53165.38
36453,AL,870,50226.44
36456,AL,650,46320.0
36460,AL,3350,52605.97
36467,AL,3690,45105.42
36471,AL,360,35458.33
36474,AL,1100,48385.45
36475,AL,710,44894.37
36477,AL,1710,44395.32
36480,AL,680,50097.06
36481,AL,100,31080.0
36482,AL,350,34694.29
36483,AL,170,39505.88
36502,AL,6060,42786.8
36505,AL,620,55629.03
36507,AL,8040,51207.59
36509,AL,750,37508.0
36511,AL,370,39327.03
36518,AL,1010,64981.19
36521,AL,1990,54232.16
36522,AL,2720,47463.97
36523,AL,990,48982.83
36524,AL,410,41948.78
36525,AL,810,54818.52
36526,AL,15800,76534.62
36527,AL,7200,102710.83
36528,AL,830,83933.73
36529,AL,230,50230.43
36530,AL,3390,62428.91
36532,AL,14800,95727.43
36535,AL,14000,48103.57
36538,AL,150,36173.33
36539,AL,280,52678.57
36540,AL,370,34500.0
36541,AL,5790,52726.94
36542,AL,6970,64725.54
36544,AL,4400,42828.64
36545,AL,3520,52088.35
36548,AL,480,56702.08
36549,AL,2400,57690.42
36551,AL,4070,53649.39
36553,AL,1250,44096.0
36555,AL,600,88046.67
36558,AL,1280,55409.38
36560,AL,1240,36337.1
36561,AL,4160,96785.82
36562,AL,730,45615.07
36567,AL,5880,48489.8
36569,AL,310,54958.06
36571,AL,7160,61231.01
36572,AL,2960,63473.31
36574,AL,560,56732.14
36575,AL,8660,52953.7
36576,AL,2130,53145.07
36578,AL,870,60957.47
36579,AL,690,56946.38
36580,AL,2720,46937.5
36582,AL,9900,53741.82
36583,AL,250,56448.0
36584,AL,260,53476.92
36585,AL,370,49894.59
36587,AL,4070,49685.5
36602,AL,440,84900.0
36603,AL,2390,27372.8
36604,AL,3780,62352.38
36605,AL,10380,34981.21
36606,AL,8030,46211.71
36607,AL,2500,62922.0
36608,AL,15650,83942.17
36609,AL,10280,49079.67
36610,AL,3810,22879.0
36611,AL,2450,32255.1
36612,AL,1540,24944.81
36613,AL,4680,38120.73
36617,AL,4970,30330.18
36618,AL,7560,40933.86
36619,AL,6330,59091.63
36693,AL,8600,61888.02
36695,AL,21810,68589.45
36701,AL,8330,42390.28
36703,AL,4120,33024.51
36720,AL,300,26300.0
36722,AL,130,35746.15
36726,AL,1810,42876.8
36728,AL,230,42373.91
36732,AL,3300,52394.55
36736,AL,480,39427.08
36738,AL,350,37260.0
36740,AL,450,35831.11
36742,AL,920,54771.74
36744,AL,2530,38367.59
36748,AL,1220,47247.54
36749,AL,360,40563.89
36750,AL,1170,49665.81
36751,AL,310,28909.68
36752,AL,710,55633.8
36756,AL,1950,39068.72
36758,AL,480,47129.17
36759,AL,580,35431.03
36761,AL,380,37102.63
36765,AL,460,33236.96
36767,AL,710,30466.2
36768,AL,300,34410.0
36769,AL,1060,36450.94
36773,AL,130,29176.92
36775,AL,290,45410.34
36776,AL,600,30740.0
36782,AL,860,46112.79
36783,AL,320,48303.12
36784,AL,3060,49808.5
36785,AL,460,40745.65
36786,AL,1130,27235.4
36790,AL,100,65830.0
36792,AL,480,50058.33
36793,AL,210,47352.38
36801,AL,9790,57122.06
36804,AL,8240,50648.79
36830,AL,16600,89493.07
36832,AL,8490,50612.25
36850,AL,1040,35199.04
36852,AL,990,39014.14
36853,AL,3580,73181.56
36854,AL,6650,43510.53
36855,AL,490,47414.29
36856,AL,2960,47075.34
36858,AL,210,38561.9
36860,AL,580,31287.93
36861,AL,1290,67954.26
36862,AL,2290,40021.83
36863,AL,4620,40404.55
36866,AL,1590,42772.33
36867,AL,8660,47249.19
36869,AL,7970,35525.85
36870,AL,7560,47417.59
36871,AL,430,46813.95
36874,AL,3660,59873.22
36875,AL,1880,48058.51
36877,AL,5060,55365.81
36879,AL,1060,82606.6
36904,AL,1450,52735.86
36907,AL,630,36969.84
36908,AL,870,57536.78
36912,AL,660,37109.09
36915,AL,220,46750.0
36916,AL,200,49220.0
36919,AL,740,44782.43
36921,AL,380,55389.47
36922,AL,220,36118.18
36925,AL,1130,29775.22
99999,AL,28330,95081.19
0,AR,1217440,62875.87
71601,AR,5060,31293.28
71602,AR,6560,52007.01
71603,AR,12120,46753.88
71631,AR,220,36177.27
71635,AR,4480,47733.04
71638,AR,1020,36498.04
71639,AR,2350,43785.11
71640,AR,940,33311.7
71642,AR,210,55542.86
71643,AR,410,35682.93
71644,AR,290,43251.72
71646,AR,2390,49256.49
71647,AR,580,43298.28
71652,AR,380,41923.68
71653,AR,1830,57991.26
71654,AR,1680,47935.12
71655,AR,5210,52735.12
71658,AR,200,35975.0
71660,AR,340,47364.71
71663,AR,250,76928.0
71665,AR,2160,55554.63
71667,AR,2790,49047.31
71670,AR,490,45038.78
71671,AR,3170,44629.02
71674,AR,240,42841.67
71675,AR,690,48501.45
71676,AR,190,38257.89
71701,AR,7170,47791.35
71720,AR,870,44496.55
71725,AR,180,36444.44
71726,AR,410,39124.39
71730,AR,12740,63483.2
71740,AR,600,51070.0
71742,AR,1890,42337.57
71743,AR,1470,42134.69
71744,AR,1170,51617.95
71747,AR,310,39596.77
71749,AR,1020,52544.12
71751,AR,320,54975.0
71752,AR,300,39976.67
71753,AR,5560,53227.88
71758,AR,160,59225.0
71762,AR,1020,63886.27
71763,AR,550,52589.09
71764,AR,640,44243.75
71765,AR,820,44551.22
71766,AR,250,49036.0
71770,AR,1190,44904.2
71801,AR,5690,39836.38
71822,AR,3210,47235.51
71825,AR,250,39052.0
71826,AR,350,40540.0
71827,AR,310,39100.0
71832,AR,3910,41835.81
71833,AR,760,49827.63
71834,AR,440,46488.64
71835,AR,470,43227.66
71836,AR,1060,45068.87
71837,AR,1910,46312.04
71838,AR,360,35736.11
71841,AR,300,40296.67
71842,AR,780,45716.67
71845,AR,740,37694.59
71846,AR,950,46011.58
71847,AR,220,46377.27
71851,AR,830,34585.54
71852,AR,4000,45884.0
71853,AR,170,40941.18
71854,AR,14600,50410.0
71855,AR,230,35478.26
71857,AR,2180,40533.03
71858,AR,540,38801.85
71859,AR,130,41053.85
71860,AR,830,45319.28
71861,AR,760,56532.89
71862,AR,300,40173.33
71866,AR,210,50561.9
71901,AR,11510,55636.66
71909,AR,8700,69384.6
71913,AR,19590,56046.09
71921,AR,1140,46077.19
71923,AR,5650,52136.81
71929,AR,1910,50744.5
71933,AR,520,47394.23
71935,AR,240,35554.17
71937,AR,630,40147.62
71940,AR,550,42647.27
71941,AR,730,46423.29
71943,AR,1690,43573.96
71944,AR,250,41884.0
71945,AR,460,35852.17
71949,AR,710,42777.46
71950,AR,330,41606.06
71953,AR,5380,46861.71
71956,AR,700,37600.0
71957,AR,1250,46535.2
71958,AR,960,47611.46
71959,AR,250,44004.0
71960,AR,410,39582.93
71961,AR,330,48496.97
71962,AR,290,43558.62
71964,AR,1670,49135.33
71965,AR,130,43576.92
71968,AR,1910,54501.05
71969,AR,110,36809.09
71970,AR,220,38759.09
71971,AR,170,43076.47
71972,AR,130,49553.85
71973,AR,460,37404.35
72001,AR,160,40987.5
72002,AR,7540,62456.23
72003,AR,310,59561.29
72004,AR,430,36541.86
72006,AR,870,40689.66
72007,AR,3840,62804.69
72010,AR,2310,47523.38
72011,AR,1990,53517.59
72012,AR,5240,52450.19
72013,AR,720,47570.83
72015,AR,11300,52007.7
